Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Boarstream Open Air,2022-07-22,2,outdoor,Metal,"Metal
Rock",Baden-Württemberg,"Sportplatz Herrenwiesenweg22 Buchenbach, DE 74673",,,
Badenin Blut Open Air,2022-07-22,2,outdoor,Metal,"Metal
Rock",Baden-Württemberg,"Basler Str.45 Weilam Rhein, DE 79576",,68.0,
Südwinsen Festival,2022-07-22,2,outdoor,Mixed,"Blues
Country
Punk
Reggae
Rock
Ska",LowerSaxony,"Oheweg Winsen, DE 29308",4000,0.0,0.0
Rockunterden Eichen,2022-07-22,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Medieval
Rock",Saxony-Anhalt,"Unterden Eichen2 Bertingen, DE 39517",,,
Tomorrowland Festival,2022-07-22,10,outdoor,Electronicmusic,"Dance
Electro
Trance",Belgium,"Provinciaal Recreatiedomein De Schorre Schommelei1 Boom, BE 2850",50000,,
Afrika Tage,2022-07-22,28,outdoor,Art&cultureFestivals,"Africa
Jazz
Art&culture
Reggae
Ska",Austria,"Donauinsel Wien Wien, AT 1210",,,
Afrikanisches Kulturfest,2022-07-22,3,outdoor,Art&cultureFestivals,"Africa
Disco
Funk
Hip-Hop
Art&culture
Latin
Reading
Salsa
Ska
Sports",Hesse,"Park Imweimel12 Frankfurt, DE 60439",20000,,
Match Börner Open Air,2022-07-22,3,outdoor,Mixed,"Comedy
Germanrock
Pop
Punk
Rock",Schleswig-Holstein,"Stadtpark Norderstedt Stormannstrasse55 Norderstedt, DE 22844",8000,142.4,1139200.0
Oaktown Brass Festival,2022-07-22,3,outdoor,Mixed,"Dance
Germanrock
Disco
Funk
Hip-Hop
Other
Folkmusic",Bavaria,"Oaktown Brass Festival Pietenfeld, DE 85111",2000,79.99,159980.0
Ju Ro To Festival,2022-07-22,2,outdoor,Rock,"Punk
Rock",Mecklenburg-Western-Pomerania,"Am See9 Gallentin, DE 23996",1000,29.99,29990.0
Open Air Pförring,2022-07-22,2,outdoor,Rock,"Germanrock
Metal
Pop
Rock",Bavaria,"Pförringer Baggersee Pförring, DE 85104",5000,28.0,140000.0
Nat Fak- Festival,2022-07-22,2,outdoor,Rock,"Pop
Rock",Northrhine-Westphalia,"Campus Poppelsdorf Bonn Friedrich- Hirzebruch- Allee Bonn, DE 53115",,0.0,
Lautfeuer Festival,2022-07-22,2,outdoor,Mixed,"Electro
Hip-Hop
Pop
Punk
Rock",LowerSaxony,"Am Kohschultenhof Lingen( Ems), DE 49808",20000,0.0,0.0
Oakhill Festival,2022-07-22,3,outdoor,Mixed,Electro,LowerSaxony,"Sehnde, DE 31319",10000,33.6,336000.0
Open Air Gaimersheim,2022-07-23,1,outdoor,Electronicmusic,"Dance
Electro
House",Bavaria,"Festplatz Gaimersheim Römerstraße41 Gaimersheim, DE 85080",8000,25.0,200000.0
Amphi Festival,2022-07-23,2,outdoor,Gothic,"Electro
Gothic
Metal
Medieval",Northrhine-Westphalia,"Tanzbrunnen Köln Rheinparkweg1 Köln, DE 50679",12500,87.0,1087500.0
O B E N O H N E Open Air,2022-07-23,1,outdoor,Hip-Hop,"Hip-Hop
Rock",Bavaria,"Königsplatz Königsplatz1 München, DE 80333",20000,5.0,100000.0
Festival4 Family,2022-07-23,2,outdoor,Mixed,"Dance
Disco
ElectronicDanceMusic(EDM)
Movie
Hip-Hop
Pop
Rock
Schlagermusic
Sports",Germany,"Messeparkam Wasserturm Massenheimerlandstraße1 Hochheim, DE 65239",,20.0,
